q_A,Omega_A,kT_A/e,e/kT_A,Omega_B,kT_B/e,e/kT_B,Omega_tot
33,1.190000e+03,17.74177931411418,0.05636413249737959,2.305878e+179,0.198611808679017,5.034947351071821,2.743994e+182
34,1.260000e+03,18.242004786898804,0.05481853621254328,1.511750e+177,0.1980106332614311,5.050233836077439,1.904806e+180
35,1.332000e+03,18.742218215353574,0.05335547737784862,9.761949e+174,0.19740371656579564,5.06576075363148,1.300292e+178
36,1.406000e+03,19.242420539909183,0.051968513936486264,6.207300e+172,0.1967909016915024,5.081535738718458,8.727464e+175
37,1.482000e+03,19.74261260553019,0.0506518574811059,3.885730e+170,0.19617202481929746,5.097566795883068,5.758652e+173
38,1.560000e+03,20.24279517353338,0.04940029237204646,2.394070e+168,0.195546914786842,5.113862323473938,3.734749e+171
39,1.640000e+03,20.742968931693017,0.04820910657934352,1.451384e+166,0.19491539263067392,5.130431139909007,2.380270e+169
40,1.722000e+03,21.243134502916078,0.047074032312073744,8.655507e+163,0.19427727109130669,5.147282512167976,1.490478e+167
41,1.806000e+03,21.74329245271483,0.045991194855825146,5.076291e+161,0.1936323540777983,5.164426186742617,9.167782e+164
42,1.892000e+03,22.243443295672215,0.0449570683237952,2.926980e+159,0.19298043608771856,5.181872423303332,5.537846e+162
43,1.980000e+03,22.74358750104958,0.043968437255285764,1.658758e+157,0.19232130157792146,5.199632031373483,3.284340e+160
44,2.070000e+03,23.243725497670866,0.043022363179267664,9.236395e+154,0.19165472428096628,5.217716410340074,1.911934e+158
45,2.162000e+03,23.743857678189464,0.042116155409682055,5.051728e+152,0.19098046646140898,5.236137593171435,1.092184e+156
46,2.256000e+03,24.243984402821518,0.0412473454604112,2.713011e+150,0.19029827810542335,5.254908294262179,6.120554e+153
47,2.352000e+03,24.744106002629707,0.04041366456697704,1.430173e+148,0.18960789603638983,5.274041961881579,3.363767e+151
48,2.450000e+03,25.244222782416053,0.03961302388349042,7.397692e+145,0.18890904294807892,5.293552835767883,1.812435e+149
49,2.550000e+03,25.7443350232748,0.038843496990538906,3.753306e+143,0.188201426345943,5.31345601048659,9.570930e+146
50,2.652000e+03,26.24444298485417,0.03810330440532139,1.867131e+141,0.18748473738573138,5.333767505258834,4.951630e+144
51,2.756000e+03,26.74454690736311,0.0373907998315981,9.103423e+138,0.18675864959710892,5.354504341069514,2.508903e+142
