q_A,Omega_A,S_A/k,Omega_B,S_B/k,Omega_tot
105,5.548743e+64,149.0790174258868,7.316992e+28,240.38708657215375,4.060011e+93
106,1.083575e+65,149.7482971250401,3.251997e+27,241.73246066348426,3.523783e+92
107,2.106389e+65,150.4130063702795,1.346368e+26,243.07089900342652,2.835975e+91
108,4.076254e+65,151.0732093951201,5.161794e+24,244.40248293234512,2.104078e+90
109,7.853333e+65,151.7289690436084,1.819863e+23,245.7272922098143,1.429199e+89
110,1.506412e+66,152.38034681129207,5.851651e+21,247.04540505851813,8.814997e+87
111,2.877111e+66,153.02740288465174,1.698866e+20,248.35689820655531,4.887828e+86
112,5.471649e+66,153.67019617906607,4.398360e+18,249.66184692822125,2.406628e+85
113,1.036224e+67,154.30878437537558,9.996272e+16,250.96032508333423,1.035837e+84
114,1.954282e+67,154.94322395510875,1.953669e+15,252.25240515517044,3.818019e+82
115,3.670651e+67,155.57357023442967,3.192269e+13,253.53815828706846,1.171771e+81
116,6.866649e+67,156.19987739686377,4.186583e+11,254.8176543177609,2.874779e+79
117,1.279427e+68,156.8221985248551,4.131496e+09,256.0909618154879,5.285947e+77
118,2.374529e+68,157.44058563020593,2.727060e+07,257.3581481109444,6.475484e+75
119,4.389886e+68,158.05508968344677,9.030000e+04,258.61927932911027,3.964067e+73
