q,Omega,S/k,kT/e,q_cut,C/(Nk)
147,3.221731e+75,173.86380063133274,1.9272367252740499,148,98.78631762981709
148,5.420344e+75,174.38404125403332,1.9373607542831306,149,98.80896972661328
149,9.094537e+75,174.90155586595012,1.9474824439928569,150,98.83127238038574
150,1.521819e+76,175.41637351098566,1.957601831642136,151,98.85323281329948
151,2.539725e+76,175.92852276168216,1.9677189536707078,152,98.87485805949144
152,4.227305e+76,176.4380317295634,1.9778338457410307,153,98.89615497248548
153,7.017879e+76,176.9449280751895,1.987946542759095,154,98.91713023039455
154,1.162051e+77,177.4492390179343,1.998057078894599,155,98.93779034060309
155,1.919259e+77,177.95099134549463,2.008165487600516,156,98.95814164446477
156,3.161856e+77,178.4502114231403,2.0182718016321375,157,98.97819032313525
157,5.195917e+77,178.9469252027136,2.028376053065514,158,98.99794240289862
158,8.517357e+77,179.44115823138617,2.0384782733151474,159,99.01740375918227
159,1.392775e+78,179.93293566018147,2.0485784931511923,160,99.0365801224492
160,2.271965e+78,180.42228225227035,2.0586767427161847,161,99.05547708019742
161,3.697235e+78,180.909222391047,2.0687730515409024,162,99.07410008168776
162,6.002301e+78,181.39378008799235,2.0788674485605547,163,99.09245444561056
163,9.721518e+78,181.87597899033193,2.0889599621295525,164,99.11054535882607
164,1.570855e+79,182.35584238849393,2.099050620036015,165,99.12837788134271
165,2.532409e+79,182.83339322337503,2.1091394495166824,166,99.14595695403203
166,4.073211e+79,183.30865409341874,2.119226477270298,167,99.1632873991096
167,6.536651e+79,183.78164726151286,2.129311729470844,168,99.18037392208926
168,1.046642e+80,184.25239466171143,2.139395231780729,169,99.19722111690447
169,1.672150e+80,184.72091790578673,2.1494770093635283,170,99.21383346948704
170,2.665604e+80,185.18723828961618,2.159557086896035,171,99.2302153610603
171,4.240026e+80,185.65137679940952,2.16963548858019,172,99.24637106938017
172,6.729808e+80,186.11335411778103,2.179712238154377,173,99.26230477196185
173,1.065877e+81,186.5731906296713,2.189787358905019,174,99.27802055069883
174,1.684576e+81,187.03090642812336,2.1998608736771432,175,99.2935223932855
175,2.656817e+81,187.486521319917,2.2099328048849642,176,99.30881419611588
176,4.181468e+81,187.9400548310662,2.22000317452209,177,99.3238997656882
177,6.567503e+81,188.39152621218298,2.2300720041714484,178,99.33878282172196
178,1.029401e+82,188.84095444371226,2.2401393150151447,179,99.35346700146242
179,1.610236e+82,189.28835824104075,2.250205127843693,180,99.36795585926984
